clean_news,label_encoded
"hdfc bank cfo s vaidyanathan explains q1 fee income drop due to seasonal dip in insurance fees loan yields fell 2022 bps, cost of funds dropped 10 bps stabilisation expected over upcoming quarters",0
hdfc bank q1 fy26 earnings expected to align with balance sheet strength,1
"reliance, hdfc bank, and icici banks q1 results analyzed by anil singhvi the impact of these results on the market trajectory is discussed",1
"hdfc bank shares gain postq1 results, reflecting positive sentiment no analysts have issued a sell recommendation on hdfc bank",2
hdfc banks q1 consolidated net profit fell to 1626b from 1647b yoy,0
"indian benchmarks likely to open flat as strong q1 earnings offset trade concerns hdfc bank, icici bank, and reliance industries reported betterthanexpected q1 results",2
"gift nifty dips as china holds rates ril, hdfc bank, icici bank q1 results awaited",1
"hdfc banks q1fy26 results, bonus, and dividend may influence stock performance",1
"fiis increase index future shorts, reducing long positions nifty near lower bollinger band showing low momentum defence stocks like bel, bdl show bearish trends nifty financials poised for further declines amid sector weakness",0
"hdfc bank q1 results beat expectations on ppop and pat tax reversals aided earnings bonus shares 11 and rs 5 dividend announced analysts maintain buy, target rs 2,3002,338",2
"tata steel led nifty 50 gainers, up 16 at rs 16496 hdfc bank rose 142 to rs 1,98520 icici bank gained 105 to rs 1,44080 hindalco and eternal saw smaller gains of 096 and 105, respectively",2
hdfc and hdfc bank merger in fy24 slowed industry credit growth industry lending growth fell to single digits in q1fy26 due to merger impact,0
"stocks to watch on july 21 include hdfc bank, icici bank, and reliance",1
hdfc bank cfo highlights stable slippages and increased provisions bank focuses on enhancing resilience through proactive measures,1
"q1 earnings from infosys, bajaj finance, and reliance to guide markets indiaus trade talks and global cues also expected to impact sentiment",1
"nifty closed 06 lower at 24,96840 q1 results from major firms like infosys, reliance, and icici bank to impact sentiment corporate actions, ipos, fiidii activity, rupee movement, and crude oil prices to steer markets this week",0
hdfc bank increases provisions due to rising agricultural slippages the banks margins are reportedly under pressure,0
"hdfc banks q1 fy26 earnings analyzed, compared to icici bank aditya shah provides insights into the banking giants performance",1
"hdfc bank released financial results for the quarter ended june 30, 2025",1
hdfc bank reports 122 profit growth in q1 fueled by higher interest income the growth was driven by increased loan interest income and treasury gains,2
"hdfc bank explains the rationale behind its 9,000 crore floating provision in q1 results",1
"hdfc bank q1 results show a rise in provisions, supported by other income the board approved a 11 bonus issue of shares",2
"hdfc banks q1 revenue is rs 99,200 crore net profit is rs 18,155 crore declared rs 5share interim dividend, 11 bonus shares, and capital hike to rs 20,000 crore",2
hdfc banks q1fy26 nim may slightly contract due to slower loan growth and yield drop on advances postmerger adjustments focus on liability management expected roaroe at 19147 by fy27,0
hdfc banks q1 poll shows stable asset quality expectations street focuses on other key metrics under et nows radar,1
"nifty july futures closed at 25,0268, a 584point premium to niftys 24,9684 cash market close axis bank, sbi, and hdfc bank were among the top traded contracts in this session",1
hdfc bank set to announce q1 results tomorrow expectations high,1
"hdfc bank and icici bank face profit pressure from weak credit growth, thinning margins due to rbi rate cuts hdfc advances grew 04 vs 18 deposit growth icici may set higher provisions amid rising unsecured lending risks",0
"hdfc bank nears 52week high, outperforming sector, showing strong resilience despite minor dip, hdfc banks 1year performance exceeds sensex significantly",2
"anil singhvi shared trade strategies for nifty50 and nifty bank, highlighting key levels and sentiment analysis fii outflows continue, diis show modest inflows axis bank results were weak, likely causing a 510 drop wipro, ltimindtree showed strong performance tata communications and 360 one wam results disappointed",1
"day trading guide highlights intraday supportsresistances for nifty50, reliance, infosys, hdfc bank, tcs, sbi, itc, and ongc trade recommendations include entrystop loss levels infosys buy at 1565, sbi rally expected, caution advised for ongc",1
"hdfc banks stock closed at 19869 market cap 15235378 cr eps 923 pe ratio 215 11 cr shares traded as of jul 18, 2025",1
"indian hotels acquires 33l shares in elel hotel for rs 165 cr ntpc gets govt nod for rs 20k cr re investment tech mahindra q1 profit rises 339 yoy itc hotels posts 53 profit jump hdfc bank to consider bonus shares, dividend",2
"hdfc bank shares rose 1 to rs 20219 ahead of its board meeting to consider its first bonus issue and special dividend the bank will also announce q1 results and has recently raised rs 12,500 crore via ofs and ipo for its subsidiary hdb financial services",2
hdfc bank to review bonus issue and special dividend on july 19 the review aligns with hdfc banks results announcement on the same date,1
"hdfc bank ceo sashidhar jagdishans fy25 pay rose 118 to rs 1208 crore hdfc bank added 700 branches to total 9,455 by march 31, 2025",2
"hdb financial services, a unit of hdfc bank, reported a lower q1 profit due to higher bad loan provisions",0
"sensex gains 50 pts nifty crosses 25,000 as hdfc bank leads hdfc bank and mm emerge as top gainers in early trading",2
"hdb financial services to announce q1 results today, its first since july 2 listing at rs 835 ipo saw 1765x subscription emkay gives a buy with rs 900 target, citing robust growth potential",2
"hdb financial services, a subsidiary of hdfc bank, to release its first quarterly results postlisting",1
"hdfc bank deposits grew 25x faster than loans, holding 11 of total deposits with 5 of branches credittodeposit ratio dropped to 96, with reduced highcost borrowings and disciplined growth strategy",2
"hdfc bank to host earnings call for q1 fy25 results on july 19, 2025 senior management to discuss standaloneconsolidated results audio replay available on hdfcs website",1
rbi imposes a monetary penalty on hdfc bank ltd,0
"hdfc bank ceo at agm confirmed successful merger completion, enabling faster growth the bank targets advancing growth aligned with system by fy26",2
"hdfc bank faces allegations from nris accusing officials of misusing rs 2530 crore to purchase at1 bonds at1 bonds, written off in 2023 postcredit suisses ubs acquisition, triggered probes in india and the middle east",0
hdfc bank faces eow complaints over alleged misuse of nri fixed deposits ndtv profit reports this as an exclusive development on the matter,0
"hdfc bank ceo sashidhar jagdishan faces financial misconduct allegations involving siphoning 6 crore from a traders account nagpur eow is investigating claims that funds were misappropriated by senior hdfc bank officials, including overseas investments",0
"indias net direct tax collection fell 13 yoy to rs 563l crore till july 10, fy26 gross tax collections rose 32 to rs 665l crore refunds surged 38 yoy",1
rbi fines hdfc bank rs488l for a nov 2021 loan issue under fema rules penalty relates to foreign investment rules bank has taken corrective actions,0
"indian markets fell as trump announced 35 tariffs on canadian goods hdfc bank, ril, and tcs led the losses amid trade policy concerns",0
"hdfc bank traded 225m shares today, opening at rs 1,998 and reaching rs 2,0048 despite declines, it remains 204 from its 52week high delivery volumes rose 116",1
"day trading guide for july 11, 2025, offers intraday levels for nifty futures, reliance, infosys, sbi, hdfc bank, and others recommendations based on technical analysis include entryexit levels and stop loss guidance for stocks like itc, ongc, and tcs",1
"hdfc bank live updates ltp 20112, mcap 15390148, vol 6930714 pe ratio 218, eps 923 insights on market trends and analysis",1
"indian banks gained market cap in q1fy26 despite credit growth slowdown, with hdfc bank up 97 and icici bank up 74 au small finance bank led with a 531 increase, while uco bank saw the biggest loss, down 92 in market cap",2
"credit growth slowed in q1fy26 hdfc banks loan growth at 67, yes banks at 51 psu banks outpaced private banks corporates shifted to capital markets, raising 157l crore in fy25",0
"hdfc bank anchors rs 532 cr ncd issue for adani energys wrss xxi with a 77 coupon, maturing in 2043 wrss xxi aims to refinance costlier debt and support gujarats renewable energy transmission projects",2
"tcs to start q1fy26 earnings season on july 10, reflecting it sectors fy26 trajectory key q1 dates infosys on july 23, hdfc bank july 19, nestl july 24 focus on growth metrics",1
"hdfc bank and other financial entities report q1 earnings implications for hdfc bank, bob, and lt finance are highlighted",1
"mcap of six top firms dropped rs 70,3255 cr hdfc, icici lead losses reliance, infosys, sbi, and hindustan unilever gained in market valuation",0
"odisha govt reinstates icici bank, axis bank, and hdfc bank for state business the decision follows assurances to improve priority lending and creditdeposit ratios",2
sc declines to quash fir against hdfc bank md sashidhar jagdishan bombay hc to hear the lilavati trust case involving him on 14 july,0
hdfc banks q1 updates raise questions on potential stock impacts,1
hdfc banks avg deposits rose 16 yoy to rs 2658l cr in june25 casa deposits grew 61 yoy to rs 86l cr as of june25,2
"hdfc banks rs 2000 put options saw 8,693 contracts traded, turnover rs 1,6466l stock, at rs 19859, is 166 below its 52week high of rs 20271",1
"hdfc bank traded 84m shares with rs 16803 crore value, market cap rs 1523l crore stock outperformed sector by 05, trading above key averages but below 5day average",1
hdfc bank reports 7 yoy growth in advances in q1 the bank also shows strong deposit growth during the quarter,2
"macquarie forecasts 15 eps cagr for banks over 3 years, favoring private banks top picks include hdfc bank, axis, ab capital, pfc, and shriram finance",2
"day trading guide lists key supports, resistances for nifty futures, reliance, infosys, hdfc bank, sbi, tcs technical analysis suggests trading strategies with entry, stoploss levels risk of loss emphasized",1
"lic holds a 107 stake in nse worth 66,319 cr, ranking it fifth in lics portfolio top lic stakes include reliance 134 l cr, itc 80,874 cr, hdfc bank 72,180 cr, and sbi 68,031 cr",1
hdfc banks arm hdb financial debuts with 13 premium on dstreet,2
"emkay global gives hdb financial its first buy rating, predicting a 22 price upside hdb financial is the nonbank financial arm of hdfc bank",2
"nifty bank index fell 023 to 5731275 top gainers included pnb 39, bob 31, canara bank 29 top losers were axis bank 21, kotak mahindra 2, icici bank 11, and hdfc bank 07",0
"9 of top10 bse firms added rs 234 lakh cr in market cap airtel led with rs 51,8607 cr rise infosys was the only top10 firm to see a decline, losing rs 5,4948 cr in market cap",1
"hdfc bank loan scam grows from rs 43 cr to rs 20 cr eow takes over 63 more suspicious loans found, allegedly involving bank staff in the fraud",0
"hdb financial services ipo ends with 167x subscription retail booked 14x ipo raised rs 12,500 cr shares to be listed tentatively on july 2",2
"hdfc returns to public markets with hdb financials 12,500cr ipo hdb financial services is a smaller version of hdfc banks business",2
"credila financial services files for 50b ipo, including 30b fresh issue hdfc bank and kopvoorn bv to divest 20b shares in the ipo",1
bombay hc benches recuse from hearing hdfc bank ceos plea to quash fraud fir fir filed against sashidhar jagdishan by lilavati kirtilal mehta medical trust,0
hdfc bank shares display their best performance since 2019 future moves for hdfc bank stock remain a key focus,2
"sensex up 11, nifty 1 as rally extends with reliance, hdfc bank leading broadbased gains seen in energy, banking, it strong earnings and macro boost sentiment",2
hdfc bank reduces fd rates by 25 bps effective june 25 savings rates cut to 250 pa from 275 pa revised fd rates range from 275 to 660 for general customers senior citizens earn 325 to 710,0
"hdb financial services ipo live updates on gmp, subscription status, and review date investors weigh applying to hdfc banks subsidiary ipo as details unfold",1
"hdfc bank, hdfc life, grasim hit record highs on thursday max health, bharti airtel, au small finance also reached new highs intraday",2
"hdfc bank announces rs 22share final dividend record date set for june 27, purchase cutoff june 26 fy25 pat at rs 7079b shares surged 12 ytd, hitting rs 1,9999 52week high",2
"hdfc bank and bharti airtel hit alltime highs as nifty rises to 25,400",2
"hdfc bank saw notable trading activity with 24m shares traded worth rs 48 crore the stock gained 203 over 3 days, trading above key moving averages despite lower investor participation",2
hdfc bank observes early signs of structural turnaround in psu banks hdfc securities shared insights on psu banks via cnbc tv18,1
"hdfc bank, bajaj finserv, cipla set june 27 as record date for dividends investors must buy shares by june 26 to qualify for dividends exdate starts friday",1
"day trading guide offers supportresistance levels for nifty futures, reliance, infosys, hdfc bank, sbi, tcs, itc, and ongc recommendations include entry and stoploss levels risks based on technical analysis highlighted for june 26, 2025",1
"bls e services surged 5 after its unit signed a rs 65 crore deal to acquire 1,480 sbi and hdfc bank csps the strategic move expands its financial inclusion services, targeting underserved regions and handling rs 8,300 crore in transactions annually",1
"rbi plans a 7day vrrr auction on june 27 to absorb excess liquidity of rs 1 lakh crore bank and nbfc stocks trade mixed hdfc bank, pnb gain, while axis bank and kotak fall",2
"hdb financial, a subsidiary of hdfc bank, raised 3,368 cr via anchor investors in its ipo",2
"hdb financial plans rs 12,500 cr raise via ipo hdfc stake to reduce to 742 from 943 gross loans grew 235 to rs 1,06,8776 cr nim fell to 76, roa impacted by higher credit costs",0
hdfc banks ltp is 19609 market cap stands at 15005242 cr trading volume hits 11312661 pe ratio is 212 eps at 925,1
"nifty june futures closed at 25,090, a 4565point premium to niftys cash close at 25,04435 reliance, infosys, and hdfc bank were top traded contracts nifty rose 7245 points to 25,04435",1
hdfc banks board will meet on july 19 to approve q1 fy26 results,1
"nifty bank index fell 054 to 55,94905 icici bank, axis bank led losses shares like happiest minds, tata motors show upside potential several stocks hit 52week highslows",1
"yes bank recovers rs 201 crore via npa settlement, triggering disclosure under regulation 30 moodys upgrades yes banks rating to ba2 with stable outlook rbi extends md prashant kumars term",1
"sensex and nifty50 surged 13 each tcs, hul, hdfc bank, and bel among key stocks to track granules, waaree energies, and dalmia bharat to focus on developments ab lifestyle brands debuts in t2t",1
"lilavati trust files rs 1,000cr defamation suit against hdfc bank and ceo sashidhar jagdishan trust alleges smear campaign, bribery, and malicious statements fir registered by bandra police",0
"hdfc bank rises 11 to rs 19562, marking its third straight session gain the stock has surged 174 yoy, outperforming niftys 65 and nifty banks 87 gains",2
"hdb financial services sets ipo price band at rs 700740share with rs 12,500cr issue to open june 25 ipo includes rs 2,500cr fresh issue rs 10,000cr ofs listing expected on bse nse july 2",2
"sensex opened at 81,354, down 67 pts nifty at 24,787, slipping 56 pts hdfc bank, nestle india are key stocks in focus amid global updates",1
"hdfc banks nbfc arm, hdb financial services, sees up to 30 lower valuation ahead of june 25 ipo rbi circular overhang impacts hdb financial services valuation, as per investment banking sources",0
hdfc bank ipo price band set at rs 700740share min bid lot 20 shares parent bank approved share transfer for offer for sale shares in escrow,1
"hdfc banks subsidiary hdb financial files rhp for ipo on june 19, 2025 the filing was submitted to roc gujarat exchanges were duly informed",1
"indias ipo market set for a busy week with rs 15,000 cr in deals hdb financial leads with rs 14 bn ipo ellenbarrie aims to raise rs 852 bn kalpataru targets rs 159 bn amid niftys 12 rally since march lows",2
"day trading guide highlights intraday supportsresistances for nifty futures, reliance, infosys, hdfc bank, tcs, sbi recommendations include entrystoploss levels trading based on technical analysis carries risk of loss",1
"hdfc banks chief hr officer, vinay razdan, resigns effective june 18, 2025 the resignation details are disclosed under regulation 30 of sebi lodr rules",0
"nifty 50 dragged by hdfc bank 936 pts, kotak 433 pts, jsw steel 265 pts bajaj finance, ntpc, and bharti airtel also contributed to index decline eps rose from 636 to 785",0
"hdfc bank allotted 70,56,247 equity shares under its esos to employees paidup share capital increased to rs 7,66,79,13,646 from rs 7,66,08,57,399",2
"sbi, hdfc bank, and icici bank cut savings account rates post rbis 50 bps repo rate cut sbi offers 25, while hdfc and icici provide a uniform 275 across all balances",0
"hdfc bank confirms interest payment on ncds under sebi reg 57 interest of rs 848 cr and rs 1376 cr paid on june 16, 2025",2
"mirae asset mf holds itc and hdfc bank in its top 10 stocks as of may the funds aum stood at rs 207 lakh crore, managing 82 schemes",2
hdfc bank shares increase amid reports on hdb financials ipo timeline,2
"hdb financial services, a subsidiary of hdfc bank, plans a 12,500 crore ipo by june end",2
"the market cap of 8 top firms fell by 165 trillion, with hdfc bank leading losses the bse benchmark dropped 1,07039 points or 13 last week, reflecting a bearish trend",0
"stocks to watch on june 12 hdfc bank, nazara, iex, mcx, hind copper markets may open flat gift nifty futures were up 19 points at 25,231 as of 800 am",1
"day trading guide for june 12, 2025, offers intraday supports and resistances for nifty50 stocks like hdfc bank, infosys, itc, ongc, reliance ind, sbi, and tcs recommendations include going short on hdfc bank at 1955, long on infosys at 1615, long on itc above 429, long on ongc at 246, and long on tcs above 3490",0
"hdfc bank adr premium surged over 10 as foreign investors show renewed interest previously, the adr premium failed to rise above 5 last year",2
hdfc bank denies false allegations by lilavati kirtilal mehta medical trust trustees the bank asserts compliance with laws and ethics and plans legal action against accusers,0
"punjab deempanels hdfc bank due to lack of cooperation and order implementation failures the state lists 23 empanelled banks, including sbi, icici, and axis the centre cut punjabs borrowing limit by rs 16,676 crore, impacting the states financial stability punjabs liabilities include unpaid power subsidies and previous borrowings",0
"hcltech expands partnership with standard insurance for ailed transformation mm financial to list 154 crore rights shares on wednesday tata elxsi trades exdividend maharashtra hikes excise duty on liquor, impacting stocks like radico khaitan vodafone idea launches 5g in bengaluru",1
"hdfc bank reduces fd and savings account interest rates post rbis repo rate cut maximum fd rate is 725 for 4 years 7 months, with senior citizens getting 050 extra savings account interest for balances over 50 lakh reduced to 300 icici bank also lowered fd rates to 660 for similar tenures changes effective june 10, 2025",0
"judicial authorities are probing allegations against hdfc bank ceo, contested by lilavati medical trust lilavati medical trust argues claims are serious, countering hdfc banks dismissal as frivolous",0
"rbi will halt daily vrr auctions from june 11 due to surplus liquidity, having averaged 275 lakh crore in june bond yields rose 6 basis points to 635 after rate cuts and stance change, reflecting market sentiment shifts",1
the mehta family alleges bribe money and forging evidence against hdfc bank ceo sashidhar jagdishan,0
hdfc bank ceo sashidhar jagdishans annual payout is scrutinized amid trust fund fraud claims,0
"hdfc bank ceo is involved in a bitter dispute with lilavati trusts, as reported by cnbc tv18",0
lilavati trust seeks removal of hdfc bank ceo citing fir against him hdfc bank claims fir against ceo is an attempt to evade loan dues,0
hdfc bank faces fraud allegations involving executive sashidhar jagdishan,0
"gift nifty june 2025 futures up 16 points, indicating a positive start for nifty 50 hdfc bank shares may be in focus following lilavati kirtilal mehta medical trusts press conference",1
"hdfc banks stock last traded at 19787, market cap 14945567, volume 15063504 pe ratio is 211, eps 925 stay informed with realtime updates and analysis",1
hdfc bank stock may see attention after mehta family files fir against ceo over lilavati trust allegations,0
hdfc bank will seek legal remedies against allegations by lkmm trust suzlon promoters may sell 20 crore shares in a block deal tata steel to begin uk low carbon project by 2025 bel and tata electronics signed mou for semiconductor solutions,1
"hdfc bank refutes fraud allegations by the mehta family, stating theyre retaliatory attempts to evade a inr 652 crore loan repayment the bank asserts its commitment to corporate governance and will pursue legal remedies to recover dues from splendour gems ltd",1
mehta family files fir against hdfc bank ceo sashidhar jagdishan the fir follows allegations related to lilavati trust,0
hdfc banks md ceo faces fir filed by a loan defaulter,0
"hdfc bank faces allegations from lilavati hospital trust related to splendour gems unpaid loan of inr 6522 crore the bank claims the allegations are retaliatory, linked to delayed loan recovery efforts",0
"nine of the top 10 firms added rs 1 trn in market value last week reliance industries and hdfc bank led gains, reflecting positive equity trends",2
hdfc banks recovery and enforcement against prashant mehta have lasted over 20 years mehta and family have repeatedly filed vexatious legal cases against hdfc bank,0
"sbi cards surged 50 in 2025, reaching a 52week high of rs 99945 after rbis rate cut eased credit costs the stock saw a 46 rise in 2025, recovering from a 40 drop since october 2021 despite a net profit dip, improving npas and nims excite investors credit card growth, corporate spending, and tier 23 city potential drive optimism, though high valuations and limited growth postrally caution investors",2
"lilavati hospital trust accuses hdfc bank ceo sashidhar jagdishan of financial fraud, demanding his suspension he allegedly accepted rs 205 crore to harass a trustees father the economic offences wing filed a case for rs 1152 crore misappropriation trusts ongoing feud involves allegations against several including rashmi mehta, with investments in mayfair realtors",0
"hdfc bank and hdfc amc hit record highs on bse with prices at 1,9963 and 5,140 respectively sbi cards surged 5 in fridays intraday trade amid heavy volumes",2
"rate sensitive stocks, including hdfc bank and bajaj fin, surged up to 7 after rbis 50 bps repo rate cut rbi mpcs decision also involved a crr cut, benefiting financials, nbfcs, housing finance, automobiles, and real estate sectors",2
"sensex and nifty rose on may 4, 2025, after a 3day decline, driven by global market rallies reliance industries and hdfc bank purchases contributed to market optimism and recovery",2
"hdb financial services unlisted shares surged 30 in a month as sebi considers ipo approval shares are priced at rs 1,275 hdfc bank shares remain flat at rs 1,9248 hdb plans to raise rs 12,500 crore via ipo, offering rs 2,500 crore fresh shares and rs 10,000 crore ofs",2
"nifty 50 dropped 174 points over three days, trading between 24,50025,000 breaking below 24,380 could increase bearish activity hdfc bank is in focus, with block deals expected in alkem labs, ab fashion, tata tech, and indegene rcb wins ipl trophy",1
"hdfc banks hdb financial receives sebi nod to raise 12,500 cr via fresh issue and ofs",2
"hdb financial services and vikram solar, along with 4 others, received sebi approval for ipos hdbs ipo includes a fresh issue of rs 2,500 crore vikram solars ipo involves a fresh issue of rs 1,500 crore shares of these firms will be listed on bse and nse",2
"bank nifty surpasses 56,000, reaching a record high up 9 this year strong gains in hdfc bank and state bank of india drive the surge",2
"day trading guide for june 3, 2025, offers intraday supports and resistances for nifty50 stocks like reliance, infosys, hdfc bank, tcs, and sbi trade recommendations are based on technical analysis includes entry and stop loss levels, highlighting risks in trading",1
"hdfc bank shows strong quarterly returns with a last traded price of 19449 market cap is 14882806, volume 14374039, pe ratio 210, eps 925 as of 02 jun 2025",2
"hdfc bank confirms interest payment compliance under sebi regulations for ncds, with rs 420 crores due on 31 may 2025 interest payment record date was 15 may 2025, and the last payment was made on 31 may 2024 no payment delays reported",1
"nifty bank index opened at 55,616 but fell to 55,400, down 03 au small finance bank gained 05, hdfc bank up 01 indusind bank dropped 12, canara bank down 1 nifty bank futures opened gap up at 55,950, now at 55,750, down 02",1
"hdfc bank sees surge in active call options with 2,551 contracts at rs 1960 strike its trading at rs 19261, close to 52week high hdfc bank outperformed its sector by 03 today market cap at rs 14,75,3245 crore, with delivery volume up 266 from 5day average",2
"hdfc bank allotted 2,801,134 equity shares to employees under esop the paidup share capital will increase from rs 7,658,056,265 to rs 7,660,857,399",1
icici bank and hdfc bank cut fixed deposit rates by up to 20 bps for deposits below rs 3 crore this marks the second time in two months that the banks have made such rate adjustments,0
"day trading guide for may 27, 2025, covers nifty futures and major stocks like reliance, infosys, hdfc bank, tcs, sbi it provides intraday supports, resistances, entry, and stop loss levels recommendations are based on technical analysis with trade risks key entry points infosys above 1590, reliance above 1445, tcs above 3545, nifty 50 futures above 24980",1
"rajiv jain, the largest fii in india, makes new investments in hdfc bank his latest bets focus on major indian companies, including bharti",2
